"hours","minutes","seconds","channel","intensity","interval","copy"
0,0,2935,10,4,0,1
0,0,2940,1,3,0,1
0,0,2940,3,3,0,1
0,0,2940,8,3,0,1
0,0,2940,10,3,0,1
0,0,2945,1,4,0,1
0,0,2945,3,4,0,1
0,0,2945,8,4,0,1
0,0,2945,10,4,0,1
0,0,2949,1,5,0,1
0,0,2949,3,5,0,1
0,0,2949,8,5,0,1
0,0,2949,10,5,0,1
0,0,2954,1,6,0,1
0,0,2954,3,6,0,1
0,0,2954,8,6,0,1
0,0,2954,10,6,0,1
0,0,2958,1,7,0,1
0,0,2958,3,7,0,1
0,0,2958,8,7,0,1
0,0,2958,10,7,0,1
0,0,2963,1,8,0,1
0,0,2963,3,8,0,1
0,0,2963,8,8,0,1
0,0,2963,10,8,0,1
0,0,2968,1,9,0,1
0,0,2968,3,9,0,1
0,0,2968,8,9,0,1
0,0,2968,10,9,0,1
0,0,2972,1,10,0,1
0,0,2972,3,10,0,1
0,0,2972,8,10,0,1
0,0,2972,10,10,0,1
0,0,2977,1,11,0,1
0,0,2977,3,11,0,1
0,0,2977,8,11,0,1
0,0,2977,10,11,0,1
0,0,2982,1,12,0,1
0,0,2982,3,12,0,1
0,0,2982,8,12,0,1
0,0,2982,10,12,0,1
0,0,2986,1,13,0,1
0,0,2986,3,13,0,1
0,0,2986,8,13,0,1
0,0,2986,10,13,0,1
0,0,2991,1,14,0,1
0,0,2991,3,14,0,1
0,0,2991,8,14,0,1
0,0,2991,10,14,0,1
0,0,2995,1,15,0,1
0,0,2995,3,15,0,1
0,0,2995,8,15,0,1
0,0,2995,10,15,0,1
0,0,3000,1,16,0,1
0,0,3000,3,16,0,1
0,0,3000,8,16,0,1
0,0,3000,10,16,0,1
0,0,3005,1,17,0,1
0,0,3005,3,17,0,1
0,0,3005,8,17,0,1
0,0,3005,10,17,0,1
0,0,3009,1,18,0,1
0,0,3009,3,18,0,1
0,0,3009,8,18,0,1
0,0,3009,10,18,0,1
0,0,3014,1,19,0,1
0,0,3014,3,19,0,1
0,0,3014,8,19,0,1
0,0,3014,10,19,0,1
0,0,3018,1,20,0,1
0,0,3018,3,20,0,1
0,0,3018,8,20,0,1
0,0,3018,10,20,0,1
0,0,3023,1,21,0,1
0,0,3023,3,21,0,1
0,0,3023,8,21,0,1
0,0,3023,10,21,0,1
0,0,3028,1,22,0,1
0,0,3028,3,22,0,1
0,0,3028,8,22,0,1
0,0,3028,10,22,0,1
0,0,3032,1,23,0,1
0,0,3032,3,23,0,1
0,0,3032,8,23,0,1
0,0,3032,10,23,0,1
0,0,3037,1,24,0,1
0,0,3037,3,24,0,1
0,0,3037,8,24,0,1
0,0,3037,10,24,0,1
0,0,3042,1,25,0,1
0,0,3042,3,25,0,1
0,0,3042,8,25,0,1
0,0,3042,10,25,0,1
0,0,3046,1,26,0,1
0,0,3046,3,26,0,1
0,0,3046,8,26,0,1
0,0,3046,10,26,0,1
0,0,3051,1,27,0,1
0,0,3051,3,27,0,1
0,0,3051,8,27,0,1
0,0,3051,10,27,0,1
0,0,3055,1,28,0,1
0,0,3055,3,28,0,1
0,0,3055,8,28,0,1
0,0,3055,10,28,0,1
0,0,3060,1,29,0,1
0,0,3060,3,29,0,1
0,0,3060,8,29,0,1
0,0,3060,10,29,0,1
0,0,3065,1,28,0,1
0,0,3065,3,28,0,1
0,0,3065,8,28,0,1
0,0,3065,10,28,0,1
0,0,3069,1,27,0,1
0,0,3069,3,27,0,1
0,0,3069,8,27,0,1
0,0,3069,10,27,0,1
0,0,3074,1,26,0,1
0,0,3074,3,26,0,1
0,0,3074,8,26,0,1
0,0,3074,10,26,0,1
0,0,3078,1,25,0,1
0,0,3078,3,25,0,1
0,0,3078,8,25,0,1
0,0,3078,10,25,0,1
0,0,3083,1,24,0,1
0,0,3083,3,24,0,1
0,0,3083,8,24,0,1
0,0,3083,10,24,0,1
0,0,3088,1,23,0,1
0,0,3088,3,23,0,1
0,0,3088,8,23,0,1
0,0,3088,10,23,0,1
0,0,3092,1,22,0,1
0,0,3092,3,22,0,1
0,0,3092,8,22,0,1
0,0,3092,10,22,0,1
0,0,3097,1,21,0,1
0,0,3097,3,21,0,1
0,0,3097,8,21,0,1
0,0,3097,10,21,0,1
0,0,3102,1,20,0,1
0,0,3102,3,20,0,1
0,0,3102,8,20,0,1
0,0,3102,10,20,0,1
0,0,3106,1,19,0,1
0,0,3106,3,19,0,1
0,0,3106,8,19,0,1
0,0,3106,10,19,0,1
0,0,3111,1,18,0,1
0,0,3111,3,18,0,1
0,0,3111,8,18,0,1
0,0,3111,10,18,0,1
0,0,3115,1,17,0,1
0,0,3115,3,17,0,1
0,0,3115,8,17,0,1
0,0,3115,10,17,0,1
0,0,3120,1,16,0,1
0,0,3120,3,16,0,1
0,0,3120,8,16,0,1
0,0,3120,10,16,0,1
0,0,3125,1,15,0,1
0,0,3125,3,15,0,1
0,0,3125,8,15,0,1
0,0,3125,10,15,0,1
0,0,3129,1,14,0,1
0,0,3129,3,14,0,1
0,0,3129,8,14,0,1
0,0,3129,10,14,0,1
0,0,3134,1,13,0,1
0,0,3134,3,13,0,1
0,0,3134,8,13,0,1
0,0,3134,10,13,0,1
