date(dd-mm-yyy),time(hh:mm:ss),channel(1-40),intensity(%),interval(sec.)
1-1-2000,4:47:33,31,23,0
1-1-2000,4:47:33,3,23,0
1-1-2000,4:47:33,13,23,0
1-1-2000,4:47:33,23,23,0
1-1-2000,4:47:33,33,23,0
1-1-2000,4:47:33,8,23,0
1-1-2000,4:47:33,18,23,0
1-1-2000,4:47:33,28,23,0
1-1-2000,4:47:33,38,23,0
1-1-2000,4:47:33,10,23,0
1-1-2000,4:47:33,20,23,0
1-1-2000,4:47:33,30,23,0
1-1-2000,4:47:33,40,23,0
1-1-2000,4:47:38,1,24,0
1-1-2000,4:47:38,11,24,0
1-1-2000,4:47:38,21,24,0
1-1-2000,4:47:38,31,24,0
1-1-2000,4:47:38,3,24,0
1-1-2000,4:47:38,13,24,0
1-1-2000,4:47:38,23,24,0
1-1-2000,4:47:38,33,24,0
1-1-2000,4:47:38,8,24,0
1-1-2000,4:47:38,18,24,0
1-1-2000,4:47:38,28,24,0
1-1-2000,4:47:38,38,24,0
1-1-2000,4:47:38,10,24,0
1-1-2000,4:47:38,20,24,0
1-1-2000,4:47:38,30,24,0
1-1-2000,4:47:38,40,24,0
1-1-2000,4:47:43,1,25,0
1-1-2000,4:47:43,11,25,0
1-1-2000,4:47:43,21,25,0
1-1-2000,4:47:43,31,25,0
1-1-2000,4:47:43,3,25,0
1-1-2000,4:47:43,13,25,0
1-1-2000,4:47:43,23,25,0
1-1-2000,4:47:43,33,25,0
1-1-2000,4:47:43,8,25,0
1-1-2000,4:47:43,18,25,0
1-1-2000,4:47:43,28,25,0
1-1-2000,4:47:43,38,25,0
1-1-2000,4:47:43,10,25,0
1-1-2000,4:47:43,20,25,0
1-1-2000,4:47:43,30,25,0
1-1-2000,4:47:43,40,25,0
1-1-2000,4:47:47,1,26,0
1-1-2000,4:47:47,11,26,0
1-1-2000,4:47:47,21,26,0
1-1-2000,4:47:47,31,26,0
1-1-2000,4:47:47,3,26,0
1-1-2000,4:47:47,13,26,0
1-1-2000,4:47:47,23,26,0
1-1-2000,4:47:47,33,26,0
1-1-2000,4:47:47,8,26,0
1-1-2000,4:47:47,18,26,0
1-1-2000,4:47:47,28,26,0
1-1-2000,4:47:47,38,26,0
1-1-2000,4:47:47,10,26,0
1-1-2000,4:47:47,20,26,0
1-1-2000,4:47:47,30,26,0
1-1-2000,4:47:47,40,26,0
1-1-2000,4:47:52,1,27,0
1-1-2000,4:47:52,11,27,0
1-1-2000,4:47:52,21,27,0
1-1-2000,4:47:52,31,27,0
1-1-2000,4:47:52,3,27,0
1-1-2000,4:47:52,13,27,0
1-1-2000,4:47:52,23,27,0
1-1-2000,4:47:52,33,27,0
1-1-2000,4:47:52,8,27,0
1-1-2000,4:47:52,18,27,0
1-1-2000,4:47:52,28,27,0
1-1-2000,4:47:52,38,27,0
1-1-2000,4:47:52,10,27,0
1-1-2000,4:47:52,20,27,0
1-1-2000,4:47:52,30,27,0
1-1-2000,4:47:52,40,27,0
1-1-2000,4:47:56,1,28,0
1-1-2000,4:47:56,11,28,0
1-1-2000,4:47:56,21,28,0
1-1-2000,4:47:56,31,28,0
1-1-2000,4:47:56,3,28,0
1-1-2000,4:47:56,13,28,0
1-1-2000,4:47:56,23,28,0
1-1-2000,4:47:56,33,28,0
1-1-2000,4:47:56,8,28,0
1-1-2000,4:47:56,18,28,0
1-1-2000,4:47:56,28,28,0
1-1-2000,4:47:56,38,28,0
1-1-2000,4:47:56,10,28,0
1-1-2000,4:47:56,20,28,0
1-1-2000,4:47:56,30,28,0
1-1-2000,4:47:56,40,28,0
1-1-2000,4:48:1,1,29,0
1-1-2000,4:48:1,11,29,0
1-1-2000,4:48:1,21,29,0
1-1-2000,4:48:1,31,29,0
1-1-2000,4:48:1,3,29,0
1-1-2000,4:48:1,13,29,0
1-1-2000,4:48:1,23,29,0
1-1-2000,4:48:1,33,29,0
1-1-2000,4:48:1,8,29,0
1-1-2000,4:48:1,18,29,0
1-1-2000,4:48:1,28,29,0
1-1-2000,4:48:1,38,29,0
1-1-2000,4:48:1,10,29,0
1-1-2000,4:48:1,20,29,0
1-1-2000,4:48:1,30,29,0
1-1-2000,4:48:1,40,29,0
1-1-2000,4:48:6,1,28,0
1-1-2000,4:48:6,11,28,0
1-1-2000,4:48:6,21,28,0
1-1-2000,4:48:6,31,28,0
1-1-2000,4:48:6,3,28,0
1-1-2000,4:48:6,13,28,0
1-1-2000,4:48:6,23,28,0
1-1-2000,4:48:6,33,28,0
1-1-2000,4:48:6,8,28,0
1-1-2000,4:48:6,18,28,0
1-1-2000,4:48:6,28,28,0
1-1-2000,4:48:6,38,28,0
1-1-2000,4:48:6,10,28,0
1-1-2000,4:48:6,20,28,0
1-1-2000,4:48:6,30,28,0
1-1-2000,4:48:6,40,28,0
1-1-2000,4:48:10,1,27,0
1-1-2000,4:48:10,11,27,0
1-1-2000,4:48:10,21,27,0
1-1-2000,4:48:10,31,27,0
1-1-2000,4:48:10,3,27,0
1-1-2000,4:48:10,13,27,0
1-1-2000,4:48:10,23,27,0
1-1-2000,4:48:10,33,27,0
1-1-2000,4:48:10,8,27,0
1-1-2000,4:48:10,18,27,0
1-1-2000,4:48:10,28,27,0
1-1-2000,4:48:10,38,27,0
1-1-2000,4:48:10,10,27,0
1-1-2000,4:48:10,20,27,0
1-1-2000,4:48:10,30,27,0
1-1-2000,4:48:10,40,27,0
1-1-2000,4:48:15,1,26,0
1-1-2000,4:48:15,11,26,0
1-1-2000,4:48:15,21,26,0
1-1-2000,4:48:15,31,26,0
1-1-2000,4:48:15,3,26,0
1-1-2000,4:48:15,13,26,0
1-1-2000,4:48:15,23,26,0
1-1-2000,4:48:15,33,26,0
1-1-2000,4:48:15,8,26,0
1-1-2000,4:48:15,18,26,0
1-1-2000,4:48:15,28,26,0
1-1-2000,4:48:15,38,26,0
